grade,atrisk,at_risk_3,read_scale_score,ell_indicator,math_scale_score
3,0,0,0.395862916,No,-0.240395552
3,1,2,0.192080659,No,-0.541014792
3,1,2,-1.44759403,No,-1.456068845
4,0,0,0.197899659,No,-0.106867989
4,0,0,0.197899659,No,0.479135938
3,0,0,-0.444160668,No,-0.106867989
3,0,0,-0.444160668,No,0.479135938
4,1,2,0.200693697,No,0.307992291
4,1,2,0.200693697,No,-0.145673004
5,1,2,0.187000302,No,0.307992291
5,1,2,0.187000302,No,-0.145673004
3,0,0,1.261433718,No,0.431230139
10,0,0,-0.071427903,No,0.131604695
6,0,0,-0.28824309,No,-1.665276618
6,0,0,-0.28824309,No,-0.448753038
7,0,0,-0.773756499,No,-1.665276618
7,0,0,-0.773756499,No,-0.448753038
10,1,2,-0.144820836,No,0.193291829
8,0,0,0.667850935,No,0.229040461
8,0,0,0.667850935,No,0.379028213
7,0,0,0.698777415,No,0.229040461
7,0,0,0.698777415,No,0.379028213
8,1,2,-0.203610426,No,-0.635597344
8,1,2,-0.203610426,No,-0.197969611
7,1,2,0.044731568,No,-0.635597344
7,1,2,0.044731568,No,-0.197969611
7,1,2,-0.00545659,No,-0.336617719
7,1,2,-0.00545659,No,-0.250103769
6,1,2,-0.20530847,No,-0.336617719
6,1,2,-0.20530847,No,-0.250103769
7,0,0,0.250643379,No,-0.581185884
7,0,0,0.250643379,No,-0.146809305
6,0,0,0.955776202,No,-0.581185884
6,0,0,0.955776202,No,-0.146809305
8,0,0,0.700979208,No,0.615243345
10,1,2,0.735894361,No,0.810163169
7,0,0,-0.118779894,No,-0.133858741
7,0,0,-0.118779894,No,-0.203278441
8,0,0,0.430179655,No,-0.133858741
8,0,0,0.430179655,No,-0.203278441
10,0,0,0.589108495,No,0.563414633
8,0,0,-0.184373797,No,0.969217269
5,1,2,-0.558038976,No,-0.78245745
5,1,2,-0.558038976,No,-0.21356571
4,1,2,-0.740071808,No,-0.78245745
4,1,2,-0.740071808,No,-0.21356571
7,1,2,-0.688389842,No,-0.589695605
7,1,2,-0.688389842,No,0.279627615
6,1,2,-0.20530847,No,-0.589695605
6,1,2,-0.20530847,No,0.279627615
7,1,2,0.165276723,No,0.485885409
8,0,0,0.942439119,No,-0.517473214
5,0,0,0.069044374,No,0.555641082
5,0,0,0.069044374,No,0.100312172
6,0,0,0.939727395,No,0.555641082
6,0,0,0.939727395,No,0.100312172
4,1,2,-0.246311142,No,-0.040104207
4,1,2,-0.246311142,No,0.246278068
3,1,2,-1.004176391,No,-0.040104207
3,1,2,-1.004176391,No,0.246278068
5,1,2,0.224566959,No,0.617364718
5,1,2,0.224566959,No,1.311100698
6,1,2,-0.254788314,No,0.617364718
6,1,2,-0.254788314,No,1.311100698
4,1,2,-1.101904695,No,-1.259529212
4,1,2,0.924359471,No,-0.441691906
4,1,2,0.924359471,No,0.397468643
5,1,2,1.097603863,No,-0.441691906
5,1,2,1.097603863,No,0.397468643
7,1,2,-0.432289873,No,0.544493307
7,1,2,-0.432289873,No,-0.273348248
6,1,2,-0.28824309,No,0.544493307
6,1,2,-0.28824309,No,-0.273348248
6,0,0,1.313013555,No,1.311100698
6,0,0,1.313013555,No,1.234601083
5,0,0,1.624270226,No,1.311100698
5,0,0,1.624270226,No,1.234601083
8,0,0,0.700979208,No,0.26126942
4,1,2,-1.060697609,No,-1.709198744
4,1,2,-1.060697609,No,-1.616584893
3,1,2,-0.304156737,No,-1.709198744
3,1,2,-0.304156737,No,-1.616584893
9,1,2,0.575448092,No,0.247476494
3,0,0,0.619821883,No,0.316848382
10,1,2,0.075357963,No,0.625101767
3,0,0,-0.663401787,No,-0.94135094
5,1,2,-1.63420682,No,-0.417243828
5,1,2,-1.63420682,No,-0.646151232
4,0,0,-2.332136511,No,-0.417243828
4,0,0,-2.332136511,No,-0.646151232
8,1,2,-1.069726801,No,-2.287342836
10,1,2,-0.946684331,No,-0.778771956
6,0,0,0.118497845,No,-0.617108012
10,0,0,1.543216624,No,0.625101767
8,0,0,-0.828266891,No,-0.446678429
6,1,2,-1.781066239,No,-2.104163612
7,1,2,-2.481089629,No,-2.104163612
8,0,0,0.620492571,No,-0.446678429
7,0,0,1.787243197,No,2.266120305
7,0,0,1.787243197,No,1.751274836
6,0,0,1.702187776,No,2.266120305
6,0,0,1.702187776,No,1.751274836
7,1,2,-1.542056408,No,-1.83929792
7,1,2,-1.542056408,No,-1.032581904
6,1,2,-1.034654664,No,-1.83929792
6,1,2,-1.034654664,No,-1.032581904
5,0,0,1.014821721,No,1.534748249
5,0,0,1.014821721,No,1.212181113
4,0,0,1.286192358,No,1.534748249
4,0,0,1.286192358,No,1.212181113
5,1,2,-0.397523382,No,-0.345767812
5,1,2,-0.397523382,No,-0.12331892
6,1,2,0.118497845,No,-0.345767812
6,1,2,0.118497845,No,-0.12331892
6,0,0,-0.777388937,No,-0.431937102
11,0,0,1.102859026,No,2.043905848
6,1,2,0.043840613,No,-0.345767812
6,1,2,0.043840613,No,-0.308489829
5,1,2,-0.397523382,No,-0.345767812
5,1,2,-0.397523382,No,-0.308489829
7,0,0,-0.603023186,No,-2.108162917
7,0,0,-0.603023186,No,-1.441999382
6,0,0,-1.117589284,No,-2.108162917
6,0,0,-1.117589284,No,-1.441999382
3,1,2,-1.91420194,No,-1.175088493
3,1,2,-1.91420194,No,-1.383727022
4,1,2,-1.578943543,No,-1.175088493
4,1,2,-1.578943543,No,-1.383727022
4,1,2,0.716145593,No,-0.394081075
4,1,2,0.716145593,No,-0.17363177
3,1,2,0.605868812,No,-0.394081075
3,1,2,0.605868812,No,-0.17363177
10,0,0,2.443519701,No,2.299973395
3,0,0,1.404014126,No,0.71718453
3,0,0,-0.093080156,No,-0.197869522
5,1,2,-0.144128266,No,-0.850610559
5,1,2,-0.144128266,No,-0.756707357
4,1,2,-0.016406035,No,-0.850610559
4,1,2,-0.016406035,No,-0.756707357
5,1,2,-1.330658893,No,0.123575626
5,1,2,-1.330658893,No,-0.345767812
6,1,2,-0.628074473,No,0.123575626
6,1,2,-0.628074473,No,-0.345767812
4,0,0,1.160356393,No,1.361935204
4,0,0,1.160356393,No,0.580604726
4,0,0,0.707259739,No,1.361935204
4,0,0,0.707259739,No,0.580604726
6,0,0,-0.454112328,No,-0.846051576
7,0,0,-0.936337203,No,-0.275331592
7,0,0,-0.936337203,No,-0.133858741
8,0,0,-0.362057946,No,-0.275331592
8,0,0,-0.362057946,No,-0.133858741
4,0,0,1.141459203,No,0.989523379
3,1,2,0.255858985,No,-0.801582347
3,1,2,0.255858985,No,-1.175088493
4,1,2,-0.838592209,No,-0.801582347
4,1,2,-0.838592209,No,-1.175088493
8,1,2,1.425358939,No,0.827627699
5,1,2,0.683693153,No,0.329575937
5,1,2,0.683693153,No,0.103532964
4,1,2,0.634893162,No,0.329575937
4,1,2,0.634893162,No,0.103532964
10,0,0,1.029466093,No,0.748476035
10,1,2,0.00196503,No,0.440040365
3,0,0,0.745872743,No,0.537350405
3,1,2,-1.305013622,No,-1.456068845
5,0,0,0.924418593,No,0.555641082
5,0,0,0.924418593,No,-0.027139252
6,1,2,0.7157557,No,0.555641082
6,1,2,0.7157557,No,-0.027139252
4,1,2,-0.378238922,No,-0.78245745
4,1,2,-0.378238922,No,-0.824600063
5,1,2,-2.296463956,No,-0.78245745
5,1,2,-2.296463956,No,-0.824600063
4,0,0,-0.305872344,No,0.171686073
4,0,0,-0.305872344,No,-0.21356571
5,0,0,-0.30969255,No,0.171686073
5,0,0,-0.30969255,No,-0.21356571
8,1,2,0.905522215,No,1.165731417
8,1,2,0.905522215,No,1.212469513
7,1,2,0.944044608,No,1.165731417
7,1,2,0.944044608,No,1.212469513
6,0,0,-1.449327761,No,-0.316320192
10,0,0,0.809287294,No,-0.053456707
5,0,0,0.069044374,No,0.9259829
5,0,0,0.069044374,No,1.566003546
6,0,0,0.7157557,No,0.9259829
6,0,0,0.7157557,No,1.566003546
8,0,0,-0.10388716,No,-0.588267999
6,1,2,-2.569162501,No,-0.728122083
6,1,2,-2.569162501,No,-3.024329834
UN,1,2,-0.086478211,No,-0.728122083
UN,1,2,-0.086478211,No,-3.024329834
3,1,2,-0.374158703,No,-1.150869152
5,1,2,0.435346728,No,-0.485136533
5,1,2,0.435346728,No,0.103532964
4,1,2,0.490160007,No,-0.485136533
4,1,2,0.490160007,No,0.103532964
10,0,0,-0.658571367,No,-0.546953778
5,1,2,-0.008716919,No,-0.027139252
5,1,2,-0.008716919,No,0.493917445
6,1,2,0.417126773,No,-0.027139252
6,1,2,0.417126773,No,0.493917445
8,0,0,0.747074695,No,1.020136905
8,0,0,0.747074695,No,0.877518815
7,0,0,0.617021684,No,1.020136905
7,0,0,0.617021684,No,0.877518815
10,0,0,0.506260254,No,0.504038607
4,1,2,-0.378238922,No,-1.804754082
5,1,2,-0.144128266,No,-1.804754082
7,0,0,0.944044608,No,0.084934161
7,0,0,0.944044608,No,0.250806474
8,0,0,0.430179655,No,0.084934161
8,0,0,0.430179655,No,0.250806474
3,0,0,-0.304156737,No,-0.440686896
4,0,0,-0.320346275,No,-0.440686896
10,0,0,1.102859026,No,0.995224571
10,1,2,0.882680227,No,0.686788901
4,1,2,0.996726049,No,0.989523379
4,1,2,0.996726049,No,0.669039466
5,0,0,1.097603863,No,0.989523379
5,0,0,1.097603863,No,0.669039466
8,1,2,-0.203610426,No,-0.646745695
8,1,2,-0.203610426,No,-0.563544193
7,1,2,-0.364047087,No,-0.646745695
7,1,2,-0.364047087,No,-0.563544193
7,0,0,0.28999876,No,0.01288101
7,0,0,0.28999876,No,0.186695605
8,0,0,0.192508375,No,0.01288101
8,0,0,0.192508375,No,0.186695605
8,0,0,0.298546024,No,1.323191194
8,0,0,-0.10388716,No,0.827627699
6,1,2,-0.10547385,No,-0.617108012
6,1,2,-0.10547385,No,-0.345767812
5,1,2,-0.086478211,No,-0.617108012
5,1,2,-0.086478211,No,-0.345767812
3,1,2,0.904982698,No,0.088084869
10,1,2,-0.18561812,No,-0.265647731
4,1,2,-0.024205741,No,0.013420198
4,1,2,-0.024205741,No,-0.707742022
3,1,2,0.395862916,No,0.013420198
3,1,2,0.395862916,No,-0.707742022
8,1,2,0.861952482,No,0.686038129
4,1,2,0.271934792,No,1.361935204
4,1,2,0.271934792,No,0.129849133
3,1,2,-0.374158703,No,1.361935204
3,1,2,-0.374158703,No,0.129849133
10,1,2,0.575448092,No,0.247476494
4,1,2,-0.690521942,No,-0.507450678
4,1,2,-0.690521942,No,-0.51051001
3,1,2,-0.094150841,No,-0.507450678
3,1,2,-0.094150841,No,-0.51051001
8,1,2,0.271732135,No,0.01288101
8,0,0,0.218059387,No,-0.234294074
8,1,2,-0.10388716,No,-0.588267999
6,0,0,0.872841582,No,0.941791845
7,0,0,0.762843318,No,0.941791845
3,0,0,0.955878639,No,1.352352951
3,0,0,0.955878639,No,0.894588734
4,0,0,0.86421586,No,1.352352951
4,0,0,0.86421586,No,0.894588734
7,1,2,-2.40794036,No,-1.736630473
7,0,0,0.698777415,No,0.229040461
7,0,0,0.698777415,No,0.443139082
8,0,0,0.192508375,No,0.229040461
8,0,0,0.192508375,No,0.443139082
5,1,2,-0.971949685,No,-1.02827818
5,1,2,-0.971949685,No,-0.78245745
4,1,2,-0.812438386,No,-1.02827818
4,1,2,-0.812438386,No,-0.78245745
10,1,2,-0.071427903,No,0.378353231
6,0,0,0.939727395,No,1.172877446
6,0,0,0.939727395,No,1.566003546
5,0,0,0.691134715,No,1.172877446
5,0,0,0.691134715,No,1.566003546
8,0,0,0.540005935,No,0.40285899
10,1,2,0.575448092,No,-0.073226146
10,0,0,1.543216624,No,-0.053456707
10,1,2,-1.430999192,No,-1.035334069
8,0,0,0.540005935,No,0.54444856
7,0,0,-0.200535625,No,0.661359364
7,0,0,-0.200535625,No,0.763693428
8,0,0,-0.678952986,No,0.661359364
8,0,0,-0.678952986,No,0.763693428
3,1,2,-0.164152807,No,1.16164386
3,1,2,-0.164152807,No,0.886637211
4,1,2,-0.172276008,No,1.16164386
4,1,2,-0.172276008,No,0.886637211
8,0,0,0.137572751,No,-0.02190972
7,1,2,0.453510222,No,0.250806474
7,1,2,0.453510222,No,-0.131225291
8,1,2,0.430179655,No,0.250806474
8,1,2,0.430179655,No,-0.131225291
8,1,2,0.667850935,No,-0.069747872
8,1,2,0.667850935,No,0.084934161
7,0,0,1.189311801,No,-0.069747872
7,0,0,1.189311801,No,0.084934161
3,1,2,0.815874708,No,0.071634665
3,1,2,0.815874708,No,0.894588734
4,1,2,0.568075326,No,0.071634665
4,1,2,0.568075326,No,0.894588734
4,1,2,-0.024205741,No,0.093423356
4,1,2,-0.024205741,No,-0.04479427
3,1,2,0.045853089,No,0.093423356
3,1,2,0.045853089,No,-0.04479427
10,1,2,-2.122877566,No,-0.778771956
3,1,2,-1.074178356,No,-2.176545215
4,1,2,-1.430873276,No,-2.176545215
3,0,0,-0.306950768,No,-0.255060401
10,1,2,-1.015872168,No,-0.393928787
7,1,2,1.275043257,No,0.014761923
7,1,2,1.275043257,No,0.422615937
6,1,2,1.536318537,No,0.014761923
6,1,2,1.536318537,No,0.422615937
7,0,0,0.336010036,No,0.279627615
7,0,0,0.336010036,No,0.296076995
6,0,0,0.126430007,No,0.279627615
6,0,0,0.126430007,No,0.296076995
10,1,2,1.40570214,No,0.439898079
3,1,2,-0.16437036,No,-0.884160062
6,1,2,0.043840613,No,-0.027139252
6,1,2,0.043840613,No,0.679088355
5,1,2,-0.164239504,No,-0.027139252
5,1,2,-0.164239504,No,0.679088355
8,0,0,-1.069726801,No,-1.791779342
10,0,0,0.589108495,No,-0.917076582
9,1,2,-0.116430282,No,-0.586350371
8,1,2,-0.747780254,No,-0.588267999
8,1,2,0.781465845,No,0.54444856
7,1,2,-1.590383051,No,-0.967300042
7,1,2,-1.590383051,No,-1.860500901
11,1,2,-0.511785501,No,-2.089132128
4,1,2,0.271934792,No,-0.27765214
4,1,2,0.271934792,No,0.360478482
3,0,0,0.255858985,No,-0.27765214
3,0,0,0.255858985,No,0.360478482
8,0,0,0.781465845,No,1.818754688
10,0,0,-0.071427903,No,1.180285972
4,1,2,-1.463737582,No,-3.304122475
12,0,0,0.644635929,No,-1.035334069
11,1,2,-0.291606702,No,-1.035334069
6,1,2,-0.454112328,No,-0.39988719
6,1,2,-0.454112328,No,-0.250103769
7,1,2,0.165276723,No,-0.39988719
7,1,2,0.165276723,No,-0.250103769
7,0,0,1.018943288,No,0.422615937
10,1,2,-0.878750166,No,-1.472260788
4,0,0,-2.983435707,No,-0.824600063
4,0,0,-2.983435707,No,-1.395835429
5,0,0,-0.971949685,No,-0.824600063
5,0,0,-0.971949685,No,-1.395835429
7,1,2,1.616509884,No,2.004352722
7,1,2,1.616509884,No,1.339090383
6,1,2,1.12164544,No,2.004352722
6,1,2,1.12164544,No,1.339090383
3,1,2,-0.52082138,No,-0.59820567
8,0,0,-0.045162906,No,-0.491491043
8,0,0,-0.045162906,No,-0.903189172
7,0,0,-1.018092934,No,-0.491491043
7,0,0,-1.018092934,No,-0.903189172
5,0,0,-1.054731827,No,-0.417243828
5,0,0,-1.054731827,No,-0.305385689
4,0,0,-0.884804963,No,-0.417243828
4,0,0,-0.884804963,No,-0.305385689
3,0,0,0.904982698,No,1.174711557
3,1,2,0.745872743,No,0.886637211
10,1,2,-0.047242445,No,-0.586350371
8,1,2,-0.747780254,No,-1.083831493
6,0,0,1.163699091,No,0.123575626
6,0,0,1.163699091,No,0.291489308
5,0,0,1.079941178,No,0.123575626
5,0,0,1.079941178,No,0.291489308
6,1,2,0.342469541,No,0.123575626
6,1,2,0.342469541,No,0.227763596
5,0,0,-0.164239504,No,0.123575626
5,0,0,-0.164239504,No,0.227763596
3,1,2,-1.424188183,No,-1.092654685
3,1,2,-1.424188183,No,-0.106867989
4,1,2,-1.134732743,No,-1.092654685
4,1,2,-1.134732743,No,-0.106867989
6,1,2,-2.569162501,No,-1.728133468
3,0,0,0.049500252,No,-0.140678644
3,1,2,0.535866847,No,0.711993808
3,1,2,0.535866847,No,0.2937147
4,1,2,0.197899659,No,0.711993808
4,1,2,0.197899659,No,0.2937147
3,1,2,0.976272902,No,0.71718453
4,0,0,0.568075326,No,-1.150869152
4,0,0,0.568075326,No,0.160187137
3,0,0,0.045853089,No,-1.150869152
3,0,0,0.045853089,No,0.160187137
8,1,2,-0.124386666,No,-0.203278441
8,1,2,-0.124386666,No,-0.133858741
7,1,2,-0.691070011,No,-0.203278441
7,1,2,-0.691070011,No,-0.133858741
9,1,2,-0.18561812,No,-2.254004103
6,1,2,-1.781066239,No,-0.912267998
8,0,0,0.540005935,No,-0.305088859
5,0,0,1.390986348,No,2.34562654
5,0,0,1.390986348,No,2.585614936
6,0,0,1.686299714,No,2.34562654
6,0,0,1.686299714,No,2.585614936
3,1,2,-0.021789952,No,1.0603298
10,0,0,-0.438392568,No,0.069917561
4,1,2,0.345426852,No,0.125897819
4,1,2,0.345426852,No,0.035379855
5,1,2,0.269782444,No,0.125897819
5,1,2,0.269782444,No,0.035379855
6,1,2,0.267812309,No,0.493917445
6,1,2,0.267812309,No,1.311100698
5,1,2,0.224566959,No,0.493917445
5,1,2,0.224566959,No,1.311100698
8,0,0,0.057086114,No,-0.02190972
5,1,2,0.269782444,No,0.669039466
5,1,2,0.269782444,No,-0.169079471
4,1,2,-0.305872344,No,0.669039466
4,1,2,-0.305872344,No,-0.169079471
8,0,0,1.063969735,No,2.815241244
8,0,0,1.063969735,No,1.886262921
7,0,0,2.742670688,No,2.815241244
7,0,0,2.742670688,No,1.886262921
3,1,2,0.263370863,No,1.0603298
7,0,0,-0.176189903,No,-0.84277349
7,0,0,-0.176189903,No,-0.912267998
6,0,0,0.126430007,No,-0.84277349
6,0,0,0.126430007,No,-0.912267998
9,1,2,-1.22343568,No,-2.254004103
3,0,0,0.762402291,No,0.71718453
10,0,0,0.00196503,No,0.131604695
3,1,2,-0.021789952,No,-0.712587427
10,0,0,1.128950791,No,-0.778771956
10,0,0,0.148750896,No,0.378353231
6,1,2,-0.454112328,No,-0.526426133
6,1,2,-0.454112328,No,-0.250103769
7,1,2,-0.432289873,No,-0.526426133
7,1,2,-0.432289873,No,-0.250103769
11,1,2,-0.878750166,No,-0.546953778
10,0,0,-0.658571367,No,0.316666097
10,0,0,0.515715562,No,0.440040365
5,1,2,0.849257437,No,-0.688814651
5,1,2,0.849257437,No,0.035379855
4,0,0,0.634893162,No,-0.688814651
4,0,0,0.634893162,No,0.035379855
5,1,2,-0.475256834,No,-0.169079471
5,1,2,-0.475256834,No,-1.164063592
4,1,2,-0.522972076,No,-0.169079471
4,1,2,-0.522972076,No,-1.164063592
7,1,2,-2.40794036,No,-1.223743519
7,1,2,-2.40794036,No,-1.139969397
8,1,2,-1.471190587,No,-1.223743519
8,1,2,-1.471190587,No,-1.139969397
3,1,2,-2.7308177,No,-2.256741141
8,0,0,-0.264860433,No,0.048885065
7,0,0,1.189676601,No,1.245119065
7,0,0,1.189676601,No,1.603956075
6,0,0,1.12164544,No,1.245119065
6,0,0,1.12164544,No,1.603956075
6,1,2,0.641098468,No,0.185299263
6,1,2,0.641098468,No,-0.218316388
5,1,2,0.53561213,No,0.185299263
5,1,2,0.53561213,No,-0.218316388
3,1,2,-0.663401787,No,-0.426633035
7,1,2,0.698777415,No,1.020136905
7,1,2,0.698777415,No,0.949571966
8,0,0,0.905522215,No,1.020136905
8,0,0,0.905522215,No,0.949571966
7,1,2,-0.118779894,No,0.443139082
7,1,2,-0.118779894,No,0.373146762
8,1,2,-0.362057946,No,0.443139082
8,1,2,-0.362057946,No,0.373146762
8,1,2,0.034060854,No,0.301093612
3,0,0,-0.021789952,No,0.831566287
10,1,2,0.442322629,No,-0.423579511
8,0,0,-1.867309387,No,-2.441850034
8,0,0,-1.867309387,No,-0.635597344
3,0,0,0.955878639,No,0.770208276
3,0,0,0.605868812,No,-0.51051001
5,0,0,0.302328252,No,0.801295003
3,1,2,-0.164152807,No,0.129849133
3,1,2,-0.164152807,No,0.2937147
4,1,2,0.494040193,No,0.129849133
4,1,2,0.494040193,No,0.2937147
7,1,2,0.044731568,No,-0.710856565
7,1,2,0.044731568,No,-1.139969397
8,1,2,0.113284615,No,-0.710856565
8,1,2,0.113284615,No,-1.139969397
4,1,2,-1.101904695,No,-0.646151232
4,1,2,-1.101904695,No,-1.571419827
5,1,2,-1.054731827,No,-0.646151232
5,1,2,-1.054731827,No,-1.571419827
10,0,0,1.128950791,No,1.402006001
7,1,2,-0.432289873,No,-1.044700844
7,1,2,-0.432289873,No,-0.589695605
6,0,0,-0.619981567,No,-1.044700844
6,0,0,-0.619981567,No,-0.589695605
3,0,0,2.188206368,No,1.003138922
7,0,0,0.044731568,No,-0.131225291
7,0,0,0.044731568,No,-0.197969611
8,0,0,0.430179655,No,-0.131225291
8,0,0,0.430179655,No,-0.197969611
5,0,0,0.691134715,No,1.172877446
5,0,0,0.691134715,No,1.119923562
6,0,0,1.313013555,No,1.172877446
